Type of land use in floodplains										
Water			Concrete/Settlement			Silt			Vegetation	
28.741497	77.168748		28.745202	77.169845		28.73867	77.172677		28.737804	77.172171
28.741236	77.169842		28.745381	77.169722		28.741083	77.176233		28.739589	77.170634
28.740488	77.170293		28.745377	77.169499		28.741055	77.176441		28.739196	77.17053
28.740901	77.170562		28.745431	77.169277		28.740926	77.176625		28.740088	77.171582
28.741239	77.171121		28.745766	77.169269		28.743316	77.177765		28.739971	77.171985
28.741348	77.171255		28.74604	77.169079		28.743377	77.17779		28.739933	77.172747
28.741091	77.170919		28.74593	77.170379		28.743402	77.177878		28.739495	77.172835
28.741476	77.171289		28.746502	77.170945		28.74331	77.177921		28.739661	77.172687
28.741559	77.171398		28.747064	77.171278		28.743362	77.177606		28.739727	77.173291
28.741785	77.171592		28.747651	77.171349		28.744103	77.179424		28.739929	77.17313
28.742079	77.171878		28.748059	77.171007		28.744159	77.179669		28.74026	77.173034
28.742231	77.171842		28.749006	77.170362		28.744147	77.179666		28.739421	77.172829
28.742417	77.171887		28.749331	77.170332		28.752965	77.188638		28.739091	77.173099
28.741624	77.171443		28.749609	77.170362		28.753079	77.189087		28.739126	77.173522
28.742017	77.171556		28.749884	77.170393		28.752814	77.188318		28.738865	77.173448
28.742254	77.170783		28.750124	77.170298		28.753241	77.188966		28.738934	77.173742
28.742803	77.17162		28.750082	77.16993		28.753217	77.18923		28.739041	77.174133
28.743181	77.172246		28.750107	77.169605		28.753013	77.188756		28.738435	77.174098
28.74392	77.172737		28.750192	77.169788		28.753013	77.188488		28.738484	77.173794
28.743474	77.172013		28.750508	77.168773		28.753226	77.188335		28.738965	77.173012
28.743918	77.172888		28.750139	77.168876		28.753262	77.188277		28.739971	77.172789
28.74407	77.173127		28.750697	77.168845		28.752991	77.188585		28.739982	77.172017
28.744106	77.172941		28.750745	77.168569		28.752839	77.189069		28.739961	77.17192
28.745442	77.170609		28.751096	77.169787		28.753514	77.190181		28.741541	77.173877
28.74575	77.170994		28.751269	77.168451		28.757964	77.189251		28.741162	77.173759
28.746027	77.171226		28.751651	77.168663		28.758135	77.189271		28.742157	77.173572
28.746068	77.171264		28.751762	77.169443		28.758202	77.189275		28.742901	77.172885
28.746008	77.171377		28.751957	77.169859		28.758112	77.190738		28.742562	77.17321
28.746277	77.171665		28.751549	77.172721		28.757722	77.190695		28.743857	77.173885
28.74614	77.171803		28.751589	77.173172		28.756757	77.190517		28.743996	77.173879
28.746105	77.171882		28.750978	77.175229		28.757514	77.190649		28.744352	77.174531
28.746512	77.171945		28.7503	77.175097		28.755863	77.192838		28.744225	77.174832
28.746573	77.172162		28.749904	77.174988		28.780588	77.168959		28.744093	77.174874
28.746571	77.172271		28.749952	77.176496		28.780652	77.168814		28.74437	77.174871
28.74695	77.172862		28.750382	77.178459		28.78067	77.169112		28.744778	77.174474
28.747213	77.173299		28.751179	77.178764		28.781041	77.169069		28.749138	77.17827
28.747517	77.173557		28.750992	77.179721		28.78176	77.169052		28.748989	77.178244
28.747161	77.174031		28.751023	77.180887		28.78218	77.168912		28.749776	77.177978
28.747875	77.173846		28.75109	77.181028		28.78232	77.169127		28.749632	77.1772
28.748028	77.174075		28.750994	77.182906		28.782331	77.168798		28.749602	77.175849
28.74803	77.174094		28.751075	77.183085		28.78268	77.169039		28.749573	77.175791
28.748094	77.174218		28.750105	77.182719		28.783265	77.168593		28.749559	77.175132
28.748263	77.174837		28.749912	77.184261		28.783163	77.168571		28.748956	77.175441
28.748296	77.175063		28.749019	77.185404		28.783391	77.168435		28.749394	77.173226
28.749161	77.175915		28.747473	77.186287		28.781844	77.166904		28.749114	77.173178
